左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,stone,3,嘲讽,R,3285,5,3
ice,2,冰封,basic,1,打击,R,3717,7,5
basic,1,打击,ghost,1,幽冥突袭,R,2477,3,5
fortune,3,招财进宝,basic,1,打击,R,2891,2,6
basic,1,打击,gambler,2,赌注,R,2496,3,5
candy,1,糖果锤,basic,1,打击,L,2998,5,3
basic,1,打击,line,3,墨水炸弹,R,2937,3,5
lava,2,岩浆涌动,basic,1,打击,L,3803,4,4
basic,1,打击,chest,1,清点财宝,R,3113,5,6
hiding,3,强化随从,basic,1,打击,R,3231,5,6
basic,2,龟派气波,stone,1,岩石护盾,R,3184,4,5
angel,3,飞升,basic,2,龟派气波,R,2810,5,4
basic,2,龟派气波,two_head,2,精神干扰/吸收,L,3077,6,4
fortune,1,骰子,basic,2,龟派气波,R,2684,3,6
basic,2,龟派气波,rainbow,3,反射,L,2851,5,2
pirate,2,朗姆酒,basic,2,龟派气波,R,3189,2,7
basic,2,龟派气波,line,1,连笔,L,3111,3,5
phoenix,3,强化涅槃,basic,2,龟派气波,L,3228,5,5
basic,2,龟派气波,crystal,2,碎晶爆破,L,2863,5,3
hiding,1,缩头,basic,2,龟派气波,R,2958,3,6
basic,2,龟派气波,shell,3,暗影,R,3626,5,5
angel,2,平等,basic,3,过肩摔,R,2776,6,4
basic,3,过肩摔,two_head,1,灵能冲击/锤击,L,2622,3,3
diamond,3,钻石冲撞,basic,3,过肩摔,R,2889,4,5
basic,3,过肩摔,rainbow,2,全色风暴,L,2587,4,3
pirate,1,火炮齐射,basic,3,过肩摔,R,2407,2,4
basic,3,过肩摔,bubble,3,泡泡爆破,L,2622,4,3
phoenix,2,烫伤,basic,3,过肩摔,L,2551,5,3
basic,3,过肩摔,crystal,1,水晶壁垒,L,2743,4,3
space,3,扭曲空间,basic,3,过肩摔,R,2686,3,4
basic,3,过肩摔,shell,2,吸收,R,3306,4,6
angel,2,平等,stone,1,岩石护盾,R,3849,9,5
stone,1,岩石护盾,two_head,1,灵能冲击/锤击,L,3625,6,5
diamond,3,钻石冲撞,stone,1,岩石护盾,R,4093,5,7
stone,1,岩石护盾,rainbow,2,全色风暴,L,2906,5,4
pirate,1,火炮齐射,stone,1,岩石护盾,R,3565,4,6
stone,1,岩石护盾,bubble,3,泡泡爆破,L,3880,6,6
phoenix,2,烫伤,stone,1,岩石护盾,L,2176,4,4
stone,1,岩石护盾,crystal,1,水晶壁垒,L,3540,5,5
space,3,扭曲空间,stone,1,岩石护盾,R,3151,3,5
stone,1,岩石护盾,shell,2,吸收,R,3464,5,7
angel,3,飞升,stone,2,磐石之躯,R,3558,7,7
stone,2,磐石之躯,two_head,2,精神干扰/吸收,L,3410,6,5
fortune,1,骰子,stone,2,磐石之躯,R,3223,4,7
stone,2,磐石之躯,rainbow,3,反射,L,3374,8,3
pirate,2,朗姆酒,stone,2,磐石之躯,R,3824,4,9
stone,2,磐石之躯,line,1,连笔,R,3528,5,6
phoenix,3,强化涅槃,stone,2,磐石之躯,L,2376,4,4
stone,2,磐石之躯,crystal,2,碎晶爆破,L,3167,6,4
hiding,1,缩头,stone,2,磐石之躯,R,4040,4,8
stone,2,磐石之躯,shell,3,暗影,R,3056,5,4
ice,2,冰封,stone,3,嘲讽,R,3562,6,5
stone,3,嘲讽,ghost,1,幽冥突袭,R,2545,3,5
fortune,3,招财进宝,stone,3,嘲讽,R,3253,3,5
stone,3,嘲讽,gambler,2,赌注,R,2749,2,5
candy,1,糖果锤,stone,3,嘲讽,L,3505,6,3
stone,3,嘲讽,line,3,墨水炸弹,R,3588,4,6
lava,2,岩浆涌动,stone,3,嘲讽,R,3931,4,4
stone,3,嘲讽,chest,1,清点财宝,L,3536,5,5
hiding,3,强化随从,stone,3,嘲讽,R,3372,5,5
bamboo,1,自然恢复,bamboo,3,竹刺阵,R,2960,3,5
ninja,2,炸弹,bamboo,1,自然恢复,L,2975,5,4
bamboo,1,自然恢复,diamond,1,坚不可摧,R,4506,6,8
dice,3,稳定骰子,bamboo,1,自然恢复,R,2912,2,5
bamboo,1,自然恢复,hunter,2,隐蔽,R,4185,3,10
bubble,1,泡泡盾,bamboo,1,自然恢复,L,4301,5,4
bamboo,1,自然恢复,lightning,3,雷盾,L,3705,6,5
cyber,2,侵入,bamboo,1,自然恢复,L,3010,5,3
bamboo,1,自然恢复,space,1,虫洞,R,3765,5,7
headless,3,灵魂打击,bamboo,1,自然恢复,L,3795,3,4
bamboo,2,竹击,ice,1,冰霜,L,3367,4,5
two_head,3,融合,bamboo,2,竹击,R,3250,4,5
bamboo,2,竹击,fortune,2,梭哈,L,2976,4,2
gambler,1,万能牌,bamboo,2,竹击,R,2991,5,5
bamboo,2,竹击,pirate,3,海盗船,R,3496,3,5
line,2,画龙点睛,bamboo,2,竹击,R,2952,4,4
bamboo,2,竹击,lava,1,地裂,R,3266,3,5
crystal,3,水晶球,bamboo,2,竹击,L,3510,5,3
bamboo,2,竹击,hiding,2,防御,R,3514,2,5
angel,1,祝福,bamboo,3,竹刺阵,R,3058,6,4
bamboo,3,竹刺阵,ninja,3,背刺,L,2747,4,3
diamond,2,钻石滚球,bamboo,3,竹刺阵,R,3105,3,3
bamboo,3,竹刺阵,rainbow,1,棱镜护盾,L,2981,5,5
hunter,3,狩猎弹幕,bamboo,3,竹刺阵,R,3245,5,4
bamboo,3,竹刺阵,bubble,2,泡泡束缚,R,3595,2,8
phoenix,1,熔岩盾,bamboo,3,竹刺阵,L,2509,5,2
bamboo,3,竹刺阵,cyber,3,智能AI,R,3697,3,6
space,2,星波,bamboo,3,竹刺阵,R,2913,4,4
bamboo,3,竹刺阵,shell,1,复制,R,2352,3,3
ninja,1,手里剑,angel,1,祝福,L,3194,6,4
angel,1,祝福,ghost,3,虚化,R,2717,5,5
dice,2,命运骰子,angel,1,祝福,R,3131,2,7
angel,1,祝福,hunter,1,精准射击,R,2667,5,6
candy,3,糖果炸弹,angel,1,祝福,L,2943,5,5
angel,1,祝福,lightning,2,雷暴,R,3765,7,6
cyber,1,能量大炮,angel,1,祝福,L,3734,7,7
angel,1,祝福,chest,3,财宝炮击,R,3196,6,4
headless,2,万千触须,angel,1,祝福,L,3462,3,6
angel,2,平等,ice,3,团队护盾,L,3140,8,4
ghost,2,灵魂风暴,angel,2,平等,L,2456,5,5
angel,2,平等,dice,1,孤注一掷,L,3808,9,2
gambler,3,命运之轮,angel,2,平等,R,2440,3,7
angel,2,平等,candy,2,糖衣炮弹,R,3308,7,4
lightning,1,涌动,angel,2,平等,R,2945,4,9
angel,2,平等,lava,3,熔岩爆发,R,3419,8,6
chest,2,财宝风暴,angel,2,平等,R,2535,2,7
angel,2,平等,headless,1,恐吓,R,2991,6,5
ice,3,团队护盾,angel,3,飞升,R,3863,5,8
angel,3,飞升,ghost,2,灵魂风暴,R,2252,4,5
dice,1,孤注一掷,angel,3,飞升,R,3067,2,6
angel,3,飞升,gambler,3,命运之轮,L,3401,8,5
candy,2,糖衣炮弹,angel,3,飞升,L,2554,3,4
angel,3,飞升,lightning,1,涌动,L,3548,8,5
lava,3,熔岩爆发,angel,3,飞升,L,3536,6,7
angel,3,飞升,chest,2,财宝风暴,R,2728,5,5
headless,1,恐吓,angel,3,飞升,L,3493,3,6
ice,1,冰霜,ninja,1,手里剑,R,2962,3,6
ghost,3,虚化,ice,1,冰霜,L,2835,4,4
ice,1,冰霜,dice,2,命运骰子,R,3259,5,6
hunter,1,精准射击,ice,1,冰霜,L,2977,6,4
ice,1,冰霜,candy,3,糖果炸弹,R,2848,4,5
lightning,2,雷暴,ice,1,冰霜,L,3880,6,6
ice,1,冰霜,cyber,1,能量大炮,R,3177,5,5
chest,3,财宝炮击,ice,1,冰霜,R,4645,2,8
ice,1,冰霜,headless,2,万千触须,R,3472,5,4
ninja,3,背刺,ice,2,冰封,L,2987,4,4
ice,2,冰封,diamond,2,钻石滚球,R,3638,6,4
rainbow,1,棱镜护盾,ice,2,冰封,L,4693,4,10
ice,2,冰封,hunter,3,狩猎弹幕,R,2880,5,5
bubble,2,泡泡束缚,ice,2,冰封,L,3887,8,7
ice,2,冰封,phoenix,1,熔岩盾,R,3389,7,7
cyber,3,智能AI,ice,2,冰封,L,4083,6,8
ice,2,冰封,space,2,星波,R,3521,7,5
shell,1,复制,ice,2,冰封,L,3649,3,7
ice,3,团队护盾,two_head,3,融合,R,4352,6,7
fortune,2,梭哈,ice,3,团队护盾,R,3926,1,7
ice,3,团队护盾,gambler,1,万能牌,R,3527,5,7
pirate,3,海盗船,ice,3,团队护盾,L,3884,5,5
ice,3,团队护盾,line,2,画龙点睛,R,3369,4,5
lava,1,地裂,ice,3,团队护盾,L,5188,7,7
ice,3,团队护盾,crystal,3,水晶球,R,3525,5,6
hiding,2,防御,ice,3,团队护盾,L,4357,5,6
ninja,1,手里剑,ninja,2,炸弹,R,2761,4,5
diamond,1,坚不可摧,ninja,1,手里剑,R,3436,5,7
ninja,1,手里剑,dice,3,稳定骰子,L,2602,4,2
hunter,2,隐蔽,ninja,1,手里剑,R,2871,4,6
ninja,1,手里剑,bubble,1,泡泡盾,L,3102,6,4
lightning,3,雷盾,ninja,1,手里剑,R,2537,3,5
ninja,1,手里剑,cyber,2,侵入,R,3888,6,3
space,1,虫洞,ninja,1,手里剑,R,2990,4,6
ninja,1,手里剑,headless,3,灵魂打击,R,3503,5,4
ghost,1,幽冥突袭,ninja,2,炸弹,R,3073,5,5
ninja,2,炸弹,fortune,3,招财进宝,R,2529,3,2
gambler,2,赌注,ninja,2,炸弹,R,3542,5,3
ninja,2,炸弹,candy,1,糖果锤,R,2863,3,4
line,3,墨水炸弹,ninja,2,炸弹,R,2368,3,5
ninja,2,炸弹,lava,2,岩浆涌动,L,2886,5,2
chest,1,清点财宝,ninja,2,炸弹,R,2511,3,5
ninja,2,炸弹,hiding,3,强化随从,R,3648,2,9
two_head,2,精神干扰/吸收,ninja,3,背刺,R,3044,4,5
ninja,3,背刺,fortune,1,骰子,L,2826,5,5
rainbow,3,反射,ninja,3,背刺,R,2655,3,5
ninja,3,背刺,pirate,2,朗姆酒,L,3421,5,4
line,1,连笔,ninja,3,背刺,R,2589,4,5
ninja,3,背刺,phoenix,3,强化涅槃,R,3048,2,5
crystal,2,碎晶爆破,ninja,3,背刺,R,2670,3,5
ninja,3,背刺,hiding,1,缩头,R,4149,3,5
shell,3,暗影,ninja,3,背刺,L,3207,4,4
two_head,1,灵能冲击/锤击,diamond,3,钻石冲撞,R,3333,5,5
rainbow,2,全色风暴,two_head,1,灵能冲击/锤击,R,3129,2,6
two_head,1,灵能冲击/锤击,pirate,1,火炮齐射,R,2610,3,5
bubble,3,泡泡爆破,two_head,1,灵能冲击/锤击,R,3694,6,6
two_head,1,灵能冲击/锤击,phoenix,2,烫伤,R,2449,2,5
crystal,1,水晶壁垒,two_head,1,灵能冲击/锤击,R,3549,5,6
two_head,1,灵能冲击/锤击,space,3,扭曲空间,R,3838,5,5
shell,2,吸收,two_head,1,灵能冲击/锤击,L,3534,7,5
two_head,2,精神干扰/吸收,diamond,3,钻石冲撞,R,4088,5,4
rainbow,2,全色风暴,two_head,2,精神干扰/吸收,R,3282,3,7
two_head,2,精神干扰/吸收,pirate,1,火炮齐射,R,3101,5,6
bubble,3,泡泡爆破,two_head,2,精神干扰/吸收,L,3519,6,5
two_head,2,精神干扰/吸收,phoenix,2,烫伤,R,2413,3,4
crystal,1,水晶壁垒,two_head,2,精神干扰/吸收,R,4568,6,8
two_head,2,精神干扰/吸收,space,3,扭曲空间,R,3999,6,6
shell,2,吸收,two_head,2,精神干扰/吸收,L,3480,7,5
two_head,3,融合,fortune,1,骰子,R,4043,5,11
rainbow,3,反射,two_head,3,融合,R,3508,3,6
two_head,3,融合,pirate,2,朗姆酒,L,4742,7,6
line,1,连笔,two_head,3,融合,R,4083,7,7
two_head,3,融合,phoenix,3,强化涅槃,R,3400,4,6
crystal,2,碎晶爆破,two_head,3,融合,R,3520,4,6
two_head,3,融合,hiding,1,缩头,L,5075,7,7
shell,3,暗影,two_head,3,融合,L,3460,5,4
ghost,1,幽冥突袭,fortune,3,招财进宝,R,3518,6,7
gambler,2,赌注,ghost,1,幽冥突袭,R,2834,4,6
ghost,1,幽冥突袭,candy,1,糖果锤,R,2757,4,5
line,3,墨水炸弹,ghost,1,幽冥突袭,R,2476,3,5
ghost,1,幽冥突袭,lava,2,岩浆涌动,L,3043,6,3
chest,1,清点财宝,ghost,1,幽冥突袭,R,2516,2,5
ghost,1,幽冥突袭,hiding,3,强化随从,L,3184,5,6
diamond,1,坚不可摧,ghost,2,灵魂风暴,R,2396,2,5
ghost,2,灵魂风暴,dice,3,稳定骰子,L,2351,4,1
hunter,2,隐蔽,ghost,2,灵魂风暴,R,2544,4,5
ghost,2,灵魂风暴,bubble,1,泡泡盾,L,2298,4,3
lightning,3,雷盾,ghost,2,灵魂风暴,R,2443,3,5
ghost,2,灵魂风暴,cyber,2,侵入,R,3157,4,4
space,1,虫洞,ghost,2,灵魂风暴,R,2504,3,5
ghost,2,灵魂风暴,headless,3,灵魂打击,L,2427,4,2
fortune,2,梭哈,ghost,3,虚化,R,2464,1,4
ghost,3,虚化,gambler,1,万能牌,L,3329,5,6
pirate,3,海盗船,ghost,3,虚化,R,4335,2,7
ghost,3,虚化,line,2,画龙点睛,L,2936,5,4
lava,1,地裂,ghost,3,虚化,R,2700,3,4
ghost,3,虚化,crystal,3,水晶球,L,2583,4,4
hiding,2,防御,ghost,3,虚化,R,3583,4,6
diamond,1,坚不可摧,diamond,2,钻石滚球,R,4263,6,8
rainbow,1,棱镜护盾,diamond,1,坚不可摧,R,4025,10,8
diamond,1,坚不可摧,hunter,3,狩猎弹幕,R,3327,4,6
bubble,2,泡泡束缚,diamond,1,坚不可摧,L,3806,9,5
diamond,1,坚不可摧,phoenix,1,熔岩盾,R,2927,5,6
cyber,3,智能AI,diamond,1,坚不可摧,L,5060,4,8
diamond,1,坚不可摧,space,2,星波,R,3306,4,6
shell,1,复制,diamond,1,坚不可摧,L,4510,6,8
diamond,2,钻石滚球,dice,2,命运骰子,L,3369,5,2
hunter,1,精准射击,diamond,2,钻石滚球,R,3282,5,5
diamond,2,钻石滚球,candy,3,糖果炸弹,R,2856,4,5
lightning,2,雷暴,diamond,2,钻石滚球,R,2803,3,4
diamond,2,钻石滚球,cyber,1,能量大炮,R,4279,4,5
chest,3,财宝炮击,diamond,2,钻石滚球,R,3097,3,5
diamond,2,钻石滚球,headless,2,万千触须,R,3544,4,3
dice,1,孤注一掷,diamond,3,钻石冲撞,R,2736,3,5
diamond,3,钻石冲撞,gambler,3,命运之轮,L,3318,7,4
candy,2,糖衣炮弹,diamond,3,钻石冲撞,L,3059,4,4
diamond,3,钻石冲撞,lightning,1,涌动,L,4052,4,5
lava,3,熔岩爆发,diamond,3,钻石冲撞,R,3288,5,5
diamond,3,钻石冲撞,chest,2,财宝风暴,R,3519,5,7
headless,1,恐吓,diamond,3,钻石冲撞,R,3460,4,6
fortune,1,骰子,dice,1,孤注一掷,R,3034,6,5
gambler,3,命运之轮,fortune,1,骰子,L,3815,6,6
fortune,1,骰子,candy,2,糖衣炮弹,R,2733,4,4
lightning,1,涌动,fortune,1,骰子,R,3699,5,10
fortune,1,骰子,lava,3,熔岩爆发,R,3084,3,6
chest,2,财宝风暴,fortune,1,骰子,R,3387,4,7
fortune,1,骰子,headless,1,恐吓,R,3284,4,5
dice,2,命运骰子,fortune,2,梭哈,R,2931,3,2
fortune,2,梭哈,hunter,1,精准射击,R,2733,1,5
candy,3,糖果炸弹,fortune,2,梭哈,L,2313,4,1
fortune,2,梭哈,lightning,2,雷暴,R,2940,1,5
cyber,1,能量大炮,fortune,2,梭哈,L,2919,4,1
fortune,2,梭哈,chest,3,财宝炮击,R,3186,1,5
headless,2,万千触须,fortune,2,梭哈,L,3202,3,2
fortune,3,招财进宝,rainbow,1,棱镜护盾,R,4068,4,11
hunter,3,狩猎弹幕,fortune,3,招财进宝,R,4149,7,10
fortune,3,招财进宝,bubble,2,泡泡束缚,R,3668,2,8
phoenix,1,熔岩盾,fortune,3,招财进宝,R,3058,5,3
fortune,3,招财进宝,cyber,3,智能AI,R,3342,2,6
space,2,星波,fortune,3,招财进宝,R,3357,4,3
fortune,3,招财进宝,shell,1,复制,R,2700,2,4
gambler,1,万能牌,dice,1,孤注一掷,R,3082,5,5
dice,1,孤注一掷,pirate,3,海盗船,R,2973,2,5
line,2,画龙点睛,dice,1,孤注一掷,R,2911,4,5
dice,1,孤注一掷,lava,1,地裂,R,3374,3,5
crystal,3,水晶球,dice,1,孤注一掷,L,3030,5,2
dice,1,孤注一掷,hiding,2,防御,L,3590,5,4
dice,3,稳定骰子,dice,2,命运骰子,R,3163,2,3
dice,2,命运骰子,hunter,2,隐蔽,L,3406,6,6
bubble,1,泡泡盾,dice,2,命运骰子,R,3112,4,6
dice,2,命运骰子,lightning,3,雷盾,L,3414,6,3
cyber,2,侵入,dice,2,命运骰子,L,3273,5,4
dice,2,命运骰子,space,1,虫洞,R,2958,4,6
headless,3,灵魂打击,dice,2,命运骰子,L,2542,4,3
dice,3,稳定骰子,gambler,2,赌注,R,2547,2,5
candy,1,糖果锤,dice,3,稳定骰子,L,2620,4,1
dice,3,稳定骰子,line,3,墨水炸弹,L,2671,3,3
lava,2,岩浆涌动,dice,3,稳定骰子,L,3140,4,2
dice,3,稳定骰子,chest,1,清点财宝,R,3363,2,7
hiding,3,强化随从,dice,3,稳定骰子,L,3603,8,2
rainbow,1,棱镜护盾,rainbow,3,反射,R,3572,6,7
pirate,2,朗姆酒,rainbow,1,棱镜护盾,R,4344,5,10
rainbow,1,棱镜护盾,line,1,连笔,R,2855,5,6
phoenix,3,强化涅槃,rainbow,1,棱镜护盾,L,2524,4,5
rainbow,1,棱镜护盾,crystal,2,碎晶爆破,R,3340,7,4
hiding,1,缩头,rainbow,1,棱镜护盾,L,3813,5,11
rainbow,1,棱镜护盾,shell,3,暗影,R,2925,6,4
pirate,1,火炮齐射,rainbow,2,全色风暴,L,2432,5,3
rainbow,2,全色风暴,bubble,3,泡泡爆破,R,3233,4,6
phoenix,2,烫伤,rainbow,2,全色风暴,L,2185,4,3
rainbow,2,全色风暴,crystal,1,水晶壁垒,R,3474,4,6
space,3,扭曲空间,rainbow,2,全色风暴,L,3351,4,4
rainbow,2,全色风暴,shell,2,吸收,R,3604,3,8
pirate,1,火炮齐射,rainbow,3,反射,L,2637,5,3
rainbow,3,反射,bubble,3,泡泡爆破,L,3412,3,5
phoenix,2,烫伤,rainbow,3,反射,L,2232,4,3
rainbow,3,反射,crystal,1,水晶壁垒,L,3803,6,6
space,3,扭曲空间,rainbow,3,反射,L,3786,5,6
rainbow,3,反射,shell,2,吸收,R,3575,3,7
pirate,2,朗姆酒,gambler,1,万能牌,L,4174,6,8
gambler,1,万能牌,line,1,连笔,L,4032,8,7
phoenix,3,强化涅槃,gambler,1,万能牌,L,3908,6,8
gambler,1,万能牌,crystal,2,碎晶爆破,L,4153,8,4
hiding,1,缩头,gambler,1,万能牌,R,4477,6,10
gambler,1,万能牌,shell,3,暗影,R,3588,7,4
candy,1,糖果锤,gambler,2,赌注,R,2574,2,5
gambler,2,赌注,line,3,墨水炸弹,L,2597,5,3
lava,2,岩浆涌动,gambler,2,赌注,R,3375,3,4
