左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,basic,3,过肩摔,R,2545,4,4
angel,2,平等,basic,1,打击,R,2771,6,6
basic,1,打击,two_head,1,灵能冲击/锤击,L,3250,6,5
diamond,3,钻石冲撞,basic,1,打击,L,3173,6,5
basic,1,打击,rainbow,2,全色风暴,L,3684,7,3
pirate,1,火炮齐射,basic,1,打击,L,2580,5,4
basic,1,打击,bubble,3,泡泡爆破,L,3305,5,5
phoenix,2,烫伤,basic,1,打击,R,2889,4,7
basic,1,打击,crystal,1,水晶壁垒,R,3587,5,6
space,3,扭曲空间,basic,1,打击,R,2952,3,6
basic,1,打击,shell,2,吸收,R,3373,5,7
bamboo,3,竹刺阵,basic,2,龟派气波,R,2999,2,6
basic,2,龟派气波,ninja,2,炸弹,L,2530,5,3
diamond,1,坚不可摧,basic,2,龟派气波,R,3341,4,6
basic,2,龟派气波,dice,3,稳定骰子,L,2637,5,3
hunter,2,隐蔽,basic,2,龟派气波,R,3210,5,6
basic,2,龟派气波,bubble,1,泡泡盾,L,2809,6,3
lightning,3,雷盾,basic,2,龟派气波,R,2815,3,6
basic,2,龟派气波,cyber,2,侵入,R,4337,7,3
space,1,虫洞,basic,2,龟派气波,R,3167,4,6
basic,2,龟派气波,headless,3,灵魂打击,L,3434,6,3
bamboo,2,竹击,basic,3,过肩摔,R,2530,2,4
basic,3,过肩摔,ninja,1,手里剑,R,2766,3,6
ghost,3,虚化,basic,3,过肩摔,R,2753,3,4
basic,3,过肩摔,dice,2,命运骰子,L,2445,5,3
hunter,1,精准射击,basic,3,过肩摔,R,2736,4,4
basic,3,过肩摔,candy,3,糖果炸弹,L,2717,5,3
lightning,2,雷暴,basic,3,过肩摔,R,2729,3,4
basic,3,过肩摔,cyber,1,能量大炮,L,3486,5,3
chest,3,财宝炮击,basic,3,过肩摔,R,2318,1,5
basic,3,过肩摔,headless,2,万千触须,L,2906,5,2
bamboo,2,竹击,stone,1,岩石护盾,R,3732,4,6
stone,1,岩石护盾,ninja,1,手里剑,R,2860,4,6
ghost,3,虚化,stone,1,岩石护盾,R,3319,4,6
stone,1,岩石护盾,dice,2,命运骰子,L,3168,5,5
hunter,1,精准射击,stone,1,岩石护盾,R,3445,6,6
stone,1,岩石护盾,candy,3,糖果炸弹,L,3204,6,4
lightning,2,雷暴,stone,1,岩石护盾,R,3011,4,5
stone,1,岩石护盾,cyber,1,能量大炮,L,4198,6,4
chest,3,财宝炮击,stone,1,岩石护盾,R,3052,3,5
stone,1,岩石护盾,headless,2,万千触须,L,3390,5,3
bamboo,3,竹刺阵,stone,2,磐石之躯,R,3211,2,8
stone,2,磐石之躯,ninja,2,炸弹,R,3399,6,3
diamond,1,坚不可摧,stone,2,磐石之躯,R,3678,5,9
stone,2,磐石之躯,dice,3,稳定骰子,L,3458,7,2
hunter,2,隐蔽,stone,2,磐石之躯,L,4325,9,6
stone,2,磐石之躯,bubble,1,泡泡盾,L,3444,6,5
lightning,3,雷盾,stone,2,磐石之躯,R,3024,3,5
stone,2,磐石之躯,cyber,2,侵入,L,4506,7,3
space,1,虫洞,stone,2,磐石之躯,L,3594,5,4
stone,2,磐石之躯,headless,3,灵魂打击,R,3119,5,4
angel,2,平等,stone,3,嘲讽,R,3169,7,5
stone,3,嘲讽,two_head,1,灵能冲击/锤击,L,3127,5,4
diamond,3,钻石冲撞,stone,3,嘲讽,R,3466,4,5
stone,3,嘲讽,rainbow,2,全色风暴,R,3481,3,6
pirate,1,火炮齐射,stone,3,嘲讽,L,2544,4,3
stone,3,嘲讽,bubble,3,泡泡爆破,L,3329,3,5
phoenix,2,烫伤,stone,3,嘲讽,L,2967,5,4
stone,3,嘲讽,crystal,1,水晶壁垒,L,3225,5,4
space,3,扭曲空间,stone,3,嘲讽,R,3103,3,5
stone,3,嘲讽,shell,2,吸收,R,3435,4,7
ice,2,冰封,bamboo,1,自然恢复,R,3555,7,3
bamboo,1,自然恢复,ghost,1,幽冥突袭,R,2582,2,5
fortune,3,招财进宝,bamboo,1,自然恢复,R,3458,2,6
bamboo,1,自然恢复,gambler,2,赌注,R,2505,2,5
candy,1,糖果锤,bamboo,1,自然恢复,L,2782,5,2
bamboo,1,自然恢复,line,3,墨水炸弹,L,3318,5,4
lava,2,岩浆涌动,bamboo,1,自然恢复,R,3501,3,6
bamboo,1,自然恢复,chest,1,清点财宝,L,4357,7,7
hiding,3,强化随从,bamboo,1,自然恢复,R,3626,7,5
bamboo,2,竹击,angel,1,祝福,L,3706,4,7
ninja,3,背刺,bamboo,2,竹击,R,3308,3,5
bamboo,2,竹击,diamond,2,钻石滚球,L,3639,5,5
rainbow,1,棱镜护盾,bamboo,2,竹击,R,3833,8,6
bamboo,2,竹击,hunter,3,狩猎弹幕,L,3068,4,4
bubble,2,泡泡束缚,bamboo,2,竹击,R,3550,8,4
bamboo,2,竹击,phoenix,1,熔岩盾,R,2908,3,6
cyber,3,智能AI,bamboo,2,竹击,R,4264,3,5
bamboo,2,竹击,space,2,星波,L,3042,4,4
shell,1,复制,bamboo,2,竹击,R,3394,4,5
bamboo,3,竹刺阵,ice,3,团队护盾,R,3246,3,5
ghost,2,灵魂风暴,bamboo,3,竹刺阵,L,2305,5,2
bamboo,3,竹刺阵,dice,1,孤注一掷,R,3450,2,4
gambler,3,命运之轮,bamboo,3,竹刺阵,R,2565,3,4
bamboo,3,竹刺阵,candy,2,糖衣炮弹,R,2991,3,3
lightning,1,涌动,bamboo,3,竹刺阵,R,2737,3,4
